source,review_description,rating,review_date
Google Play,Very good app for Android phone and me,5,27-08-2023 10:31
Google Play,Sl👍👍👍👍,5,27-08-2023 10:28
Google Play,Best app,5,27-08-2023 9:47
Google Play,Gatiya app,1,27-08-2023 9:13
Google Play,Lit bruv,5,27-08-2023 9:00
Google Play,Good,5,27-08-2023 8:48
Google Play,Don't install for privacy concern It's track your keywords It track your browsing history Etc,1,27-08-2023 8:47
Google Play,Like probably,5,27-08-2023 8:43
Google Play,لا استطيع نشر شيء، ولا حتى مشاهدة محتوى الصفحات التي اتابعها، قدمت بلاغ عن مشكله ولم اتلقى رد او حل,1,27-08-2023 8:39
Google Play,🕺🕺❕❕🕺🏽,5,27-08-2023 8:19
Google Play,Elon from marse,5,27-08-2023 8:00
Google Play,Poor application,1,27-08-2023 7:44
Google Play,बहुत अच्छा एप्लीकेशन,5,27-08-2023 7:41
Google Play,Super app,5,27-08-2023 7:20
Google Play,R to it,5,27-08-2023 7:15
Google Play,Worst threads,1,27-08-2023 7:13
Google Play,Mahendra Kushwaha,5,27-08-2023 7:04
Google Play,Nic,5,27-08-2023 7:02
Google Play,worst.. useless app,1,27-08-2023 7:01
Google Play,Exact copy of X (twitter),1,27-08-2023 6:08
Google Play,❤❤❤❤❤❤,5,27-08-2023 6:00
Google Play,This ap very useful ❤️,2,27-08-2023 5:42
Google Play,Trade,5,27-08-2023 5:38
Google Play,Nice,4,27-08-2023 4:51
Google Play,I had to delete the app. Taking forever to upload pictures,1,27-08-2023 4:44
Google Play,Nice,5,27-08-2023 4:32
Google Play,Trash,1,27-08-2023 4:16
Google Play,this application is trash,1,27-08-2023 2:58
Google Play,"I downloaded the Threads app with high hopes, but my experience has been quite disappointing. The app's lack of optimization is immediately noticeable – it feels sluggish and unresponsive. What's even worse is that the app crashes multiple times, making it incredibly frustrating to use. It's evident that the app contains numerous bugs and errors, which further hampers its usability. I really wanted to like Threads, but its current state leaves much to be desired. I hope the developers address th",3,27-08-2023 2:29
Google Play,"I don't know if my posts are being seen, but my main issue is that when I share on my Instagram stories, no one can see it. I'm either doing something wrong or it's bugged. Assuming anyone will actually read this review.",2,27-08-2023 2:20
Google Play,DKRAJ,5,27-08-2023 2:08
Google Play,Can't open it,1,27-08-2023 1:48
Google Play,bad,1,27-08-2023 0:20
Google Play,Waste app linked to Instagram,1,27-08-2023 0:15
Google Play,Getting much better with the newest updates!,5,26-08-2023 23:19
Google Play,I love this app it's hipsful,2,26-08-2023 22:35
Google Play,I hope to add direct messages🧵,5,26-08-2023 21:58
Google Play,I like the app but my post doesn't show on the home section but other people's post show on the home section.And I can't see any reply on my post.And i can't Dm someone.Wny?,1,26-08-2023 21:50
Google Play,"Needs work but has potential, I would use this for following news and getting current events quickly. Just get headlines then maybe click to read full articles or go to another site for more info/interaction. This needs better search and a search by location function. Facebook &or Instagram is better for friends and families sharing or more in-depth interactions.",2,26-08-2023 21:22
Google Play,Twitter🐦🐦 son 😂😂,1,26-08-2023 20:54
Google Play,Don't like it,1,26-08-2023 19:20
Google Play,Bohot acha hai but I post daily but still my followers are not increasing,5,26-08-2023 18:59
Google Play,Doesn't like the concept much,1,26-08-2023 18:53
Google Play,"Full of American far left politics, got bored quickly and left.",1,26-08-2023 18:52
Google Play,Twitter Twitter Twitter,1,26-08-2023 18:34
Google Play,Good 👍,4,26-08-2023 18:33
Google Play,Good,5,26-08-2023 18:04
Google Play,কিসের প্রয়োজন ভিন্ন অ্যাপের!ইনস্টাগ্রামের এর আপডেট নিয়ে আসুন হয়ে গেলো! এক্সট্রা করে দুইটা অ্যাপ ডাউনলোড করতে হয়! কি লাভ এটাতে?,1,26-08-2023 18:02
Google Play,No sure,5,26-08-2023 17:54
Google Play,Follow karo jyada,5,26-08-2023 16:54
Google Play,Good,5,26-08-2023 16:53
Google Play,"I love the app, its style and speed is slow, it needs to be improved",4,26-08-2023 16:49
Google Play,Disgusting,1,26-08-2023 16:48
Google Play,NICE APP,5,26-08-2023 16:42
Google Play,"R.Roja , lnstagram , lnstagram link video download please please 🙏🙏🙏🥺🥺",3,26-08-2023 16:41
Google Play,Amazing 😍🤩,4,26-08-2023 16:39
Google Play,"Basics learning of use type, my photo attach function in 'reply' is now blocked without notice nor explanation. Possibilities perspectives, I love..",4,26-08-2023 16:38
Google Play,Yw a a sqvr we 85 cr P l e⁴w3. V R. Rw,3,26-08-2023 16:29
Google Play,V good,5,26-08-2023 15:34
Google Play,Please don't install this app or create your threads account its just messing with your instagram account,1,26-08-2023 15:01
Google Play,Mattusaab506,5,26-08-2023 15:01
Google Play,🇮🇳,5,26-08-2023 14:57
Google Play,Lots Of Bugs,1,26-08-2023 14:53
Google Play,Bad,1,26-08-2023 14:40
Google Play,very bad app,1,26-08-2023 14:36
Google Play,"its okay, hard to explore new content, there is no explore page yet. hard to find trending content/current content. the app is very bare bones at the moment but it does what it needs to. i would like to see trending content/ news content, and a way to explore new content without scrolling past new posts from accounts i currently follow on the home page",1,26-08-2023 14:34
Google Play,That's Great,5,26-08-2023 14:29
Google Play,Benki pa ni,4,26-08-2023 14:08
Google Play,"I like the concept of Threads. It's basically Twitter without the craziness that has taken over that app. I also like that it is attached to your Instagram account. However, the lack of hashtags makes it very hard to find communities and topics to follow. Fix that, and the app should go far.",3,26-08-2023 14:06
Google Play,Good app,5,26-08-2023 13:46
Google Play,Don't know how to use it,1,26-08-2023 12:41
Google Play,Good,5,26-08-2023 12:32
Google Play,"BLUF - to delete threads you have to delete instagram! They're collecting a massive amount of data on you too. Remember, META is an ADVERTISING COMPANY with a disgusting POLITICAL AGENDA, not a social media company only people giving this garbage positive reviews are employees. Another app by a greedy anti-american woke company that needs to disappear. Mark Zuckerberg, the democrat puppet, needs to fade away back to the slime he was bred from. We don't need your censorship on another platform!!",1,26-08-2023 12:07
Google Play,PankaJ_creator_3k,5,26-08-2023 11:33
Google Play,Why scheduling post system not inbuilt in threads?,2,26-08-2023 11:31
Google Play,It's Facebook 2.0. No better. A failed attempt to save a dying company.,1,26-08-2023 11:30
Google Play,صرقة من العم تويتر,1,26-08-2023 10:58
Google Play,"Great community, as of late August 2023, still missing some key features but they are working on it. All around a fun place to be.",5,26-08-2023 10:53
Google Play,Nice,5,26-08-2023 10:03
Google Play,Interesting,5,26-08-2023 9:39
Google Play,Love this...,5,26-08-2023 9:13
Google Play,Nice 👍,4,26-08-2023 8:06
Google Play,Nice,5,26-08-2023 8:03
Google Play,Instagram Manish 645100,5,26-08-2023 7:02
Google Play,Copy master zucc,1,26-08-2023 6:52
Google Play,Ratan kumar,5,26-08-2023 6:38
Google Play,This apps video w/ audio still doesn't work properly. I can't watch anything on this app. It's literally just pictures and posts. Why?,1,26-08-2023 6:21
Google Play,"This app is not bad tho I like it but i don't use it much cause everything in this app looks like Twitters copy paste, I'm requesting please add some new updates that we can just use in this app not any other app tho kk",3,26-08-2023 5:35
Google Play,Very good,5,26-08-2023 5:22
Google Play,Threads badge shortcut option not showing,1,26-08-2023 5:11
Google Play,எக்ஸாசா நான் அவள் உடல் உறுப்புகள் என்று அவர்கள் கருதினர்,4,26-08-2023 4:49
Google Play,Nice app,5,26-08-2023 4:34
Google Play,Amazing,5,26-08-2023 4:23
Google Play,Rajneesh dass ji,5,26-08-2023 4:21
Google Play,That's good application 👍,5,26-08-2023 4:19
Google Play,Super,5,26-08-2023 4:17
Google Play,It's better than a kick in the face with a golf shoe.,3,26-08-2023 4:12
Google Play,Worst app ever that I have used now.,1,26-08-2023 3:51
Google Play,Manjeetkaur,5,26-08-2023 3:21
Google Play,"I don't know why needs to launch this app we already have Instagram, Facebook and many social media apps for sharing our idea and thoughts. It is worthless. It is my opinion.",2,26-08-2023 3:16
Google Play,Laljee nishad,3,26-08-2023 3:04
Google Play,such a waste. how about fix instagram instead of making a new twitter,1,26-08-2023 2:58
Google Play,Unable to follow people.,1,26-08-2023 2:30
Google Play,Meh X is better. This is a graveyard app,1,26-08-2023 2:26
Google Play,"Overrated Twitter is better, or should i say 𝕏.",1,26-08-2023 2:10
Google Play,Diwana loveing,5,26-08-2023 2:01
Google Play,Missing a lot of basic features,1,26-08-2023 1:30
Google Play,I like it,5,26-08-2023 0:48
Google Play,Very very interesting app 👌👌👌👌👌👌👌👌👌👌👌👌👌,5,26-08-2023 0:34
Google Play,I ended up deleting this app because I couldn't find much use for it & it takes up too much space for basically being Twitter but with the same people I have on Instagram. I regrettably sent my friends list with a request to join this app only to realize Instagram is just easier. An attempt was made though.,1,25-08-2023 21:23
Google Play,I will not use this app until I can have a separate account from my IG account. A world of us would prefer to not have everything linked together.,1,25-08-2023 20:57
Google Play,Nice and clean app. I hope they don't ruin it,5,25-08-2023 20:33
Google Play,Good app the only thing it's missing is analytics and views thank you,5,25-08-2023 20:13
Google Play,twitter lite so not bad.,3,25-08-2023 19:22
Google Play,Just idk what to say,4,25-08-2023 19:14
Google Play,Best App 😋,5,25-08-2023 18:59
Google Play,Raman Nayak,5,25-08-2023 18:31
Google Play,If Instagram credentials are required then why we need this app? Why many apps for similar purpose,1,25-08-2023 18:00
Google Play,All support help my device,5,25-08-2023 17:44
Google Play,سيء,1,25-08-2023 17:34
Google Play,Not bad,3,25-08-2023 16:50
Google Play,Awesome,5,25-08-2023 16:34
Google Play,Of no use,1,25-08-2023 16:30
Google Play,Not usefull,3,25-08-2023 16:12
Google Play,Kya app banaya 👎 isase achcha to Instagram kuchh naya feature do earning ka,1,25-08-2023 16:03
Google Play,Best,5,25-08-2023 16:01
Google Play,This app is not open,1,25-08-2023 15:48
Google Play,Refreshing my feed will show complete random and irrelevant contents,1,25-08-2023 15:33
Google Play,Disappointing quiet app no way near the engagement level of Instagram or Twitter Would like to see more people I know using this instead of x,1,25-08-2023 15:14
Google Play,Va spr❤️,5,25-08-2023 15:09
Google Play,🗑 🚮 Trash,1,25-08-2023 15:08
Google Play,Need more to improve,1,25-08-2023 15:07
Google Play,TEAM AWESOME,5,25-08-2023 15:02
Google Play,Nice app,5,25-08-2023 14:51
